A Star Is Born	2018
Game of Thrones	2011– 
Outlander	2014– 
Grey's Anatomy	2005– 
Riverdale	2016– 
The Big Bang Theory	2007– 
Widows	2018
Crazy Rich Asians	2018
A Discovery of Witches	2018– 
Vikings	2013– 
This Is Us	2016– 
The Good Place	2016– 
Friends	1994–2004
Nobody's Fool	2018
Big Mouth	2017– 
Modern Family	2009– 
Mamma Mia! Here We Go Again	2018
The Miseducation of Cameron Post	2018
The Holiday Calendar	2018
Isn't It Romantic	2019
The Vampire Diaries	2009–2017
Station 19	2018– 
Once Upon a Time	2011–2018
Mom	2013– 
Christmas Joy	2018 TV Movie
How I Met Your Mother	2005–2014
Juliet, Naked	2018
Aladdin	2019
Time Freak	2018
Two and a Half Men	2003–2015
Bones	2005–2017
Cold War	2018
A Star Is Born	1976
The Ballad of Buster Scruggs	2018
The Shape of Water	2017
Zero	2018
Love	2015
Call Me by Your Name	2017
Poldark	2015– 
That '70s Show	1998–2006
Downton Abbey	2010–2015
Will & Grace	1998– 
Titanic	1997
To All the Boys I've Loved Before	2018
Sixteen Candles	1984
Five Feet Apart	2019
Fifty Shades Freed	2018
Buffy the Vampire Slayer	1996–2003
Teen Wolf	2011–2017
Sex and the City	1998–2004
The Princess Bride	1987
Spartacus	2010–2013
Pretty Little Liars	2010–2017
The Kissing Booth	2018
Love Actually	2003
True Blood	2008–2014
Good Will Hunting	1997
Forrest Gump	1994
ER	1994–2009
Christmas With a View	2018 TV Movie
Fifty Shades of Grey	2015
Andhadhun	2018
The Twilight Saga: Breaking Dawn - Part 2	2012
Medici: Masters of Florence	2016– 
Castle	2009–2016
Beauty and the Beast	2017
Christmas at Pemberley Manor	2018 TV Movie
Smallville	2001–2011
Adrift	2018
Twilight	2008
One Tree Hill	2003–2012
Pitch Perfect	2012
Scott Pilgrim vs. the World	2010
Mamma Mia!	2008
When Dinosaurs Ruled the Earth	1970
La La Land	2016
Alita: Battle Angel	2019
Disobedience	2017
Me Before You	2016
Nocturnal Animals	2016
The Guernsey Literary and Potato Peel Pie Society	2018
Passengers	2016
Phantom Thread	2017
Casablanca	1942
Shadowhunters: The Mortal Instruments	2016– 
Justified	2010–2015
The Tudors	2007–2010
Pride & Prejudice	2005
Overboard	2018
Here and Now	2018
Müslüm	2018
Desperate Housewives	2004–2012
Eternal Sunshine of the Spotless Mind	2004
Sierra Burgess Is a Loser	2018
Troy	2004
Fifty Shades Darker	2017
Love, Simon	2018
Cinderella	2015
Younger	2015– 
A Star Is Born	1954
Destination Wedding	2018
Tombstone	1993
The Great Gatsby	2013
Her	2013
Les Misérables	2012
Stardust	2007
Versailles	2015– 
The Fosters	2013–2018
True Romance	1993
Truly Madly Deeply	1990
Marrying Father Christmas	2018
Border	2018
Bridesmaids	2011
The Princess Diaries	2001
The Notebook	2004
Siberia	2018
The Durrells in Corfu	2016– 
The End of the F***ing World	2017– 
Empire Records	1995
The Blue Lagoon	1980
Nashville	2012–2018
She's Out of My League	2010
Grease	1978
Beverly Hills, 90210	1990–2000
Hart of Dixie	2011–2015
Legend	1985
Elf	2003
Blue Is the Warmest Color	2013
You're the Worst	2014– 
Crazy, Stupid, Love.	2011
Allied	2016
About Time	2013
Dawson's Creek	1998–2003
The New Romantic	2018
Maleficent	2014
The Phantom of the Opera	2004
Clueless	1995
The O.C.	2003–2007
Book Club	2018
The Holiday	2006
Romeo + Juliet	1996
Second Act	2018
Pearl Harbor	2001
The Perks of Being a Wallflower	2012
10 Things I Hate About You	1999
Days of Our Lives	1965– 
Overboard	1987
Your Name.	2016
Little House on the Prairie	1974–1983
